,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
1199,0.0,2714.6661999999997,0.0,5616.1658,Naive
1201,0.0,1383.6167,0.0,5739.8552,Naive
1209,1792.725,655.3882,0.0,1948.7494000000002,Naive
1298,0.0,917.2868,0.0,1272.7751,Naive
1340,833.2161,3438.3659000000002,2872.6486999999997,1676.1143,Naive
1371,0.0,2927.4996,1201.2146,919.0609,Naive
1402,1354.2227,855.8041,0.0,1543.5254,Naive
1436,0.0,1650.4652999999998,640.3098,1127.9854,Naive
1438,1719.6343,1603.9565,0.0,4157.0142,Naive
1491,0.0,1172.4473,666.8552,1603.9747000000002,Naive
1580,0.0,1236.745,2148.533,3451.3438,Naive
4,2512.9417,802.8041,0.0,2681.7898,Infected
8,0.0,786.1203,1849.8040999999998,1238.2842,Infected
10,2034.1827,2304.3228,0.0,805.2078,Infected
11,0.0,2038.8826,942.29,2148.062,Infected
12,0.0,965.2444,1775.6061,1001.6491,Infected
23,0.0,4919.0149,0.0,1425.4926,Infected
24,0.0,723.5862,0.0,762.2881,Infected
25,0.0,1844.3976,0.0,2127.9917,Infected
28,1412.3525,716.374,0.0,2826.9458,Infected
41,0.0,738.2695,2532.5076,1672.3639,Infected
42,6962.4565,1556.1728,5174.1619,2123.6836,Infected
47,1230.7941,1797.6444,1010.0088,1784.2529,Infected
48,0.0,736.8378,0.0,1280.0233,Infected
53,1565.4395,768.7445,1264.3227000000002,793.1729,Infected
55,0.0,2405.5768,0.0,1346.8627,Infected
57,1504.6479,1559.3236000000002,0.0,825.2079,Infected
61,8253.0287,780.0411,0.0,1760.9094,Infected
62,11732.548899999998,805.0222,4030.3792000000003,3314.769,Infected
63,0.0,5610.1165,0.0,7527.8884,Infected
64,2581.3944,794.7819,0.0,2440.2896,Infected
65,1228.3632,1554.2848,810.6842,692.3383,Infected
66,3237.5374,752.1437,0.0,1711.6032,Infected
67,1344.8939,987.6736,0.0,743.3636,Infected
69,3573.9345,1645.2302,2158.073,2370.2891,Infected
70,0.0,771.1954,0.0,1842.6888,Infected
71,1595.7964,787.3565,1303.0,4088.7007,Infected
72,8202.0181,1480.9562,0.0,1673.0478,Infected
75,2514.5389999999998,4041.6120999999994,1261.7961,1092.064,Infected
83,4308.3256,2469.2544,0.0,2253.043,Infected
86,7847.7454,1087.873,5118.3945,2572.1692000000003,Infected
89,6769.1075,2194.2468,0.0,6301.132500000001,Infected
90,0.0,3212.1322,1941.6116,4026.3321,Infected
91,4924.7954,1546.1894,0.0,2114.3865,Infected
92,3744.8298999999997,798.271,0.0,1537.7266,Infected
93,2686.7901,1314.1621,0.0,660.6991,Infected
102,1747.3673,3348.1339000000003,1891.454,843.6875,Infected
103,0.0,5214.5167,0.0,2922.2614,Infected
104,1352.4296,2607.5443,0.0,845.8995,Infected
106,0.0,1596.677,0.0,1807.0889,Infected
113,0.0,910.0413,0.0,1326.5959,Infected
115,0.0,2424.3364,0.0,3578.0405,Infected
119,0.0,856.061,0.0,1382.291,Infected
122,0.0,1655.6855,0.0,1659.0482,Infected
129,0.0,1803.4944,0.0,1736.21,Infected
131,4611.2767,1604.7691,0.0,3885.3368000000005,Infected
132,0.0,5999.8198999999995,0.0,6881.4367,Infected
144,1279.1102,5417.6782,1768.196,5024.5278,Infected
145,1176.8889,927.9714,0.0,810.2642,Infected
147,0.0,1774.3746999999998,0.0,669.2809,Infected
148,3635.8325999999997,4160.563,0.0,2008.3467,Infected
153,0.0,858.1127,0.0,1432.1488,Infected
157,0.0,3529.554,0.0,770.8768,Infected
161,0.0,1504.7741999999998,0.0,827.8013,Infected
170,13883.6584,1489.3067,6866.004800000001,5177.0459,Infected
175,2685.2564,715.9174,9578.5363,674.0693,Infected
176,1709.0571,1788.9511,1920.9831,2989.3934,Infected
186,1552.5598,2441.7081000000003,0.0,1531.5644,Infected
187,1251.3704,797.5806,0.0,1238.2325,Infected
190,2142.8968,2666.4339,0.0,809.0956,Infected
192,4564.1816,750.6724,1818.5701,1350.6348,Infected
199,0.0,1890.9892,1317.5646000000002,1025.1964,Infected
206,0.0,2050.1843,0.0,1104.7986,Infected
209,0.0,3546.8182,665.4641,6763.246499999999,Infected
213,4675.1797,1547.5191,0.0,1074.0909,Infected
214,4589.5209,943.6875,0.0,1526.9470999999999,Infected
223,3673.8423,863.217,0.0,715.2527,Infected
229,0.0,2335.3219,0.0,2016.6531,Infected
231,0.0,4937.6178,3925.5223,3967.1477,Infected
235,0.0,1659.1466,0.0,2334.5213,Infected
237,1072.6075,3655.2494,1552.6042,798.8397,Infected
248,5921.2613,1565.9429,7280.9077,1497.7122,Infected
253,0.0,2548.0301999999997,772.3206,2317.2116,Infected
255,0.0,816.3897,642.0877,6179.3768,Infected
256,0.0,1691.2788,0.0,1515.0398,Infected
258,1374.2257,2266.0865999999996,1025.8497,1869.0702,Infected
263,0.0,920.7381,0.0,1186.6256,Infected
272,0.0,800.4431,0.0,1136.3435,Infected
273,0.0,845.1019,0.0,2951.0728,Infected
274,0.0,1490.4180000000001,4364.7391,4253.2392,Infected
275,1750.0459,1567.2331,1341.1528,967.4644,Infected
276,0.0,3142.2518,2010.0484000000001,809.4155,Infected
279,0.0,3307.5864,626.226,4216.4213,Infected
281,2249.6074,4935.032500000001,855.7173,3019.9601000000002,Infected
283,1868.5857,1478.2845,2640.2801,2577.9543,Infected
287,0.0,3413.1196,3492.6522999999997,4598.405000000001,Infected
292,2504.4897,905.0986,0.0,1167.9163,Infected
300,0.0,3419.9448,0.0,1457.1759,Infected
304,0.0,4166.5591,1287.1151,2584.9031999999997,Infected
305,1639.9701,4109.2806,1328.9070000000002,2538.5888,Infected
307,0.0,6751.6039,0.0,4286.8454,Infected
309,1246.2413,779.3917,695.616,1794.5084000000002,Infected
311,0.0,2556.0277,2007.5538,3053.4143,Infected
313,0.0,5125.406800000001,0.0,1493.9041,Infected
314,0.0,5975.750200000001,675.6985,4307.1011,Infected
315,1417.0842,1693.5174000000002,0.0,1662.5825,Infected
316,0.0,2456.2511,0.0,1108.9016,Infected
317,0.0,2797.9195,682.5278,2343.3455,Infected
320,0.0,862.0318,0.0,917.4663,Infected
321,0.0,841.3412,0.0,1946.5876,Infected
323,0.0,793.2632,3279.9888000000005,755.6945,Infected
332,1735.0787,1700.9922000000001,0.0,1191.7078,Infected
333,0.0,2554.4696,952.6136,4055.7735000000002,Infected
336,0.0,683.352,0.0,901.453,Infected
339,0.0,5909.5588,1284.1772999999998,1700.9948,Infected
340,4228.178800000001,806.7293,1036.8651,2673.4156000000003,Infected
345,0.0,3443.1428,631.7933,4383.9351,Infected
350,1330.6353,763.2456,0.0,1535.8333,Infected
354,0.0,2436.3394,942.4261,707.3945,Infected
358,0.0,4110.9702,0.0,3809.1112000000003,Infected
359,1890.0869,824.5615,0.0,1841.5607,Infected
364,0.0,2347.3848,0.0,1412.2943,Infected
367,2031.1879,825.7477,697.2537,897.6791,Infected
369,0.0,4193.442099999999,0.0,1593.6237,Infected
370,0.0,1559.1243,0.0,1755.9019,Infected
372,0.0,1897.5562,0.0,1809.7013000000002,Infected
374,0.0,756.4813,1080.2062,1295.8447,Infected
375,1320.4684,1439.5474,0.0,4711.3811,Infected
385,1524.7912000000001,2990.6399,0.0,661.3705,Infected
386,0.0,2760.7394,0.0,629.4138,Infected
388,1720.2282,2468.4283,0.0,655.9742,Infected
389,1212.4452,1797.1332,0.0,1015.5089,Infected
394,1022.6174,2973.6681,0.0,2797.9767,Infected
396,741.7333,1632.1224,2522.2569999999996,705.3433,Infected
401,0.0,785.2,933.8361,2523.2073,Infected
402,0.0,1751.1378,2396.05,1481.2181,Infected
403,6935.4069,1656.9831,4747.1837,671.06,Infected
405,2244.529,3103.759,2446.3711,1373.8618,Infected
407,0.0,3225.9842,0.0,881.8212,Infected
408,1656.4445,3565.5052,1520.5082,967.8839,Infected
409,1854.3132,850.6058,0.0,609.338,Infected
412,0.0,1798.9441000000002,0.0,1557.8782,Infected
413,1041.6169,1700.0484000000001,0.0,1695.4264,Infected
420,0.0,1775.4022,0.0,1555.4771999999998,Infected
425,0.0,1577.3994,0.0,1568.6276,Infected
428,0.0,1779.5013,0.0,1117.9552,Infected
429,709.161,818.2407,0.0,921.9344,Infected
432,0.0,2408.2418,0.0,1303.301,Infected
433,942.2706,822.2523,4883.1155,635.3961,Infected
435,1991.3651,1587.0482,0.0,1764.6761000000001,Infected
440,0.0,827.593,0.0,724.8,Infected
443,0.0,3868.3473,0.0,796.7025,Infected
451,0.0,1864.8616000000002,0.0,1772.8290000000002,Infected
452,1919.5417,845.4672,976.3804,983.5105,Infected
458,1545.4614000000001,765.7308,1307.0122,684.7845,Infected
462,1652.8318,1492.9539,2716.6288,1235.972,Infected
463,4594.1062,4746.3242,0.0,848.099,Infected
468,690.2857,3390.4875,1393.2664,1051.7982,Infected
487,0.0,2670.6998000000003,1147.899,745.0,Infected
489,0.0,880.5528,1187.8522,1662.3859,Infected
492,5624.5599999999995,2040.0169,0.0,678.6261,Infected
495,0.0,2461.37,0.0,1391.6497,Infected
505,876.0769,3956.342,1951.4496,1274.9746,Infected
507,2953.0601,2901.9956999999995,0.0,3579.4488,Infected
517,5361.7883,923.9009,0.0,988.9697,Infected
520,5493.0744,1110.2167,0.0,699.2806,Infected
526,3007.1544,5437.0327,1650.0037,1846.1131,Infected
534,0.0,1005.6694,1380.7435,1855.0627,Infected
536,0.0,1735.5063,0.0,1722.3996,Infected
541,851.2056,1077.1083,0.0,919.3945,Infected
543,0.0,790.4953,0.0,811.5883,Infected
544,4167.6618,2307.2507,2731.1161,1676.8626,Infected
548,0.0,822.4167,0.0,3414.4751,Infected
555,0.0,1596.4248,0.0,1046.2307,Infected
556,0.0,751.168,0.0,904.7917,Infected
570,1574.2688,1913.63,0.0,675.3955,Infected
571,0.0,799.1151,0.0,868.9506,Infected
573,1961.4344,3069.1975,0.0,775.2255,Infected
575,1540.7537,1596.507,0.0,1575.6051,Infected
583,0.0,1948.6587,0.0,1047.1907,Infected
598,956.7541,3581.7705,0.0,729.8465,Infected
602,0.0,2014.4481,0.0,765.767,Infected
603,0.0,3873.0837,0.0,760.2892,Infected
606,3865.8250000000003,3770.551,0.0,955.5263,Infected
607,0.0,3473.0228,0.0,702.2333,Infected
612,0.0,816.2236,0.0,802.2712,Infected
616,0.0,864.1658,0.0,942.7614,Infected
622,0.0,2459.3565,0.0,1653.1711,Infected
625,2661.1858,3198.8662,0.0,1319.4835,Infected
629,6326.5055999999995,4246.155299999999,0.0,662.944,Infected
634,9164.5515,3313.7099,0.0,1970.1545,Infected
641,0.0,2414.7653999999998,0.0,5897.4298,Infected
647,0.0,895.2761,0.0,1717.05,Infected
648,0.0,802.1416,3510.2244,7112.5181999999995,Infected
651,0.0,1772.3897000000002,5123.391100000001,7350.0437,Infected
656,0.0,810.0593,0.0,766.4149,Infected
658,0.0,1542.0339,0.0,2180.6549999999997,Infected
661,0.0,836.0374,0.0,1454.0949,Infected
663,0.0,873.8416,0.0,901.3767,Infected
665,0.0,1256.4885,3837.9695,759.9549,Infected
667,0.0,798.3083,0.0,1411.3631,Infected
670,0.0,3731.9981,928.8293,4689.439399999999,Infected
671,0.0,3347.5713,0.0,3048.4253000000003,Infected
672,0.0,1691.3543,0.0,744.6016,Infected
674,1809.4956000000002,1799.5681,0.0,1441.8434,Infected
675,672.3516,1811.1637,0.0,787.8823,Infected
676,0.0,777.8333,0.0,3407.1697,Infected
678,0.0,5278.8821,0.0,1181.7085,Infected
680,0.0,858.4058,0.0,1573.5078,Infected
682,0.0,1394.9158,0.0,786.6306,Infected
684,0.0,2489.7688,0.0,2564.5476,Infected
686,680.1442,1025.6699,5181.404700000001,2828.1222,Infected
689,0.0,1589.95,1823.9788,2756.9512,Infected
690,0.0,1647.1619999999998,0.0,2505.4518,Infected
697,0.0,3063.5222000000003,0.0,1287.5425,Infected
698,0.0,962.0825,0.0,6883.3765,Infected
699,789.0496,4336.0969000000005,0.0,715.2248,Infected
705,0.0,911.3884,1002.5913,2061.5669,Infected
709,0.0,1865.3458,4814.532,5121.8581,Infected
710,0.0,5191.133600000001,3399.0031,2007.1447,Infected
716,677.8015,823.7102,0.0,2146.4026,Infected
719,758.5128,1875.0203999999999,0.0,794.4878,Infected
720,0.0,1666.3046,0.0,1493.75,Infected
722,0.0,737.952,0.0,825.5208,Infected
723,0.0,3549.8355,0.0,790.7739,Infected
724,0.0,896.5031,3041.9941,1445.804,Infected
725,0.0,1692.2805,0.0,660.5041,Infected
728,686.6429,1654.0486,4291.6,894.6464,Infected
729,0.0,1999.8092000000001,2894.2158,708.5259,Infected
731,0.0,1834.9613,0.0,4711.5273,Infected
732,0.0,1680.7189,1803.5308,2041.0010000000002,Infected
734,0.0,1671.3618999999999,0.0,730.3631,Infected
737,0.0,782.6285,0.0,3271.2659999999996,Infected
743,0.0,3426.2572000000005,0.0,630.8145,Infected
745,0.0,2439.8873,0.0,823.7091,Infected
748,926.4424,2691.6579,3249.0006,4525.7881,Infected
750,0.0,969.7117,0.0,2359.1715,Infected
751,0.0,2841.5117,0.0,1906.6333,Infected
752,0.0,1600.4679999999998,0.0,2552.3927,Infected
754,1384.9648000000002,1634.6547999999998,2035.3077,6235.694299999999,Infected
756,0.0,2032.1468,1837.4896,5100.896000000001,Infected
758,0.0,2722.4836,0.0,1316.6388,Infected
760,0.0,1151.7198,1211.3419,2430.309,Infected
762,659.9951,3374.3324999999995,0.0,701.8395,Infected
765,0.0,2657.6281,4461.4028,3092.0807999999997,Infected
766,791.5428,3324.5186,0.0,1026.3733,Infected
