Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: RS1 mean	Nucleus: RS1 sum	Nucleus: RS1 std dev	Nucleus: RS1 max	Nucleus: RS1 min	Nucleus: RS1 range	Nucleus: RS2 mean	Nucleus: RS2 sum	Nucleus: RS2 std dev	Nucleus: RS2 max	Nucleus: RS2 min	Nucleus: RS2 range	Nucleus: RS3 mean	Nucleus: RS3 sum	Nucleus: RS3 std dev	Nucleus: RS3 max	Nucleus: RS3 min	Nucleus: RS3 range	Nucleus: RS4 mean	Nucleus: RS4 sum	Nucleus: RS4 std dev	Nucleus: RS4 max	Nucleus: RS4 min	Nucleus: RS4 range	Nucleus: RS5 mean	Nucleus: RS5 sum	Nucleus: RS5 std dev	Nucleus: RS5 max	Nucleus: RS5 min	Nucleus: RS5 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: RS1 mean	Cell: RS1 std dev	Cell: RS1 max	Cell: RS1 min	Cell: RS2 mean	Cell: RS2 std dev	Cell: RS2 max	Cell: RS2 min	Cell: RS3 mean	Cell: RS3 std dev	Cell: RS3 max	Cell: RS3 min	Cell: RS4 mean	Cell: RS4 std dev	Cell: RS4 max	Cell: RS4 min	Cell: RS5 mean	Cell: RS5 std dev	Cell: RS5 max	Cell: RS5 min	Cytoplasm: RS1 mean	Cytoplasm: RS1 std dev	Cytoplasm: RS1 max	Cytoplasm: RS1 min	Cytoplasm: RS2 mean	Cytoplasm: RS2 std dev	Cytoplasm: RS2 max	Cytoplasm: RS2 min	Cytoplasm: RS3 mean	Cytoplasm: RS3 std dev	Cytoplasm: RS3 max	Cytoplasm: RS3 min	Cytoplasm: RS4 mean	Cytoplasm: RS4 std dev	Cytoplasm: RS4 max	Cytoplasm: RS4 min	Cytoplasm: RS5 mean	Cytoplasm: RS5 std dev	Cytoplasm: RS5 max	Cytoplasm: RS5 min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	Subcellular: Channel 4: Num spots estimated	Subcellular: Channel 4: Num single spots	Subcellular: Channel 4: Num clusters	Subcellular: Channel 5: Num spots estimated	Subcellular: Channel 5: Num single spots	Subcellular: Channel 5: Num clusters	Num spots	Subcellular cluster: Channel 5: Area	Subcellular cluster: Channel 5: Mean channel intensity	Subcellular cluster: Channel 3: Area	Subcellular cluster: Channel 3: Mean channel intensity	Subcellular cluster: Channel 2: Area	Subcellular cluster: Channel 2: Mean channel intensity	Subcellular cluster: Channel 4: Area	Subcellular cluster: Channel 4: Mean channel intensity
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	150.02	5.246	27.75	21.6483	0.7441	7.3544	5.759	0.4876	529.7845	61455	294.8282	2038	211	1827	41.75	4843	22.3237	114	9	105	185.5086	21519	67.4932	491	85	406	49.8362	5781	37.9441	248	19	229	194.4569	22557	309.8228	1627	21	1606	147.25	46.5066	0.8555	16.0369	11.5	0.638	196.5722	220.7277	2038	15	49.2852	21.0963	123	9	144.472	58.9452	491	32	121.7793	80.5022	340	19	68.236	153.2964	1627	9	114.8541	74.4103	643	15	51.1332	20.3872	123	11	134.408	51.9924	292	32	139.4228	78.3488	340	22	37.2812	31.8134	388	9	0.1872	0	0	0	0	0	0	0	0	0	1	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	Subcellular spot: Channel 5 object	Subcellular spot: Channel 5 object	PathCellObject	Geometry	147.85	1.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	3.3783	902.2615	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	218.49	4.346	25.5	27.2211	0.4325	8.362	5.4721	0.7511	1032.75	107406	440.4883	2337	194	2143	28.0865	2921	15.4744	79	4	75	291.6538	30332	85.4285	511	157	354	78.9712	8213	34.9117	227	28	199	73.2788	7621	58.0369	342	16	326	114	41.8714	0.8171	15.5937	9.4338	0.7922	333.267	459.6707	2337	5	30.7615	19.9929	115	4	148.0284	107.4745	511	19	73.3654	60.7548	242	7	35.884	42.9521	342	2	127.187	172.6311	1018	5	31.5496	21.0953	115	4	105.7139	70.2686	425	19	71.7139	66.4308	242	7	24.8669	29.4869	288	2	0.2207	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	73.98	5.316	37	22.8406	0.8912	8.0408	5.9572	0.6358	519.9467	77992	326.558	2373	149	2224	35.76	5364	16.7283	111	4	107	173.8867	26083	60.296	373	88	285	85.24	12786	67.4823	293	16	277	32.24	4836	21.4281	146	7	139	168	49.3513	0.8668	17.6633	11	0.7506	208.3858	231.6431	2373	23	51.4303	20.5779	128	4	152.2908	45.5494	373	39	153.0964	73.7848	360	16	30.1113	14.5133	146	7	119.1985	53.4506	437	23	55.916	19.3543	128	14	146.1088	38.2359	287	39	172.521	63.3216	360	22	29.5019	11.7713	87	9	0.2133	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	54.07	7.331	19.25	18.5782	0.7009	7.4263	3.5759	0.8907	1329.3038	105015	850.9704	4256	541	3715	26.481	2092	26.8241	124	0	124	261.557	20663	98.6567	609	115	494	57.4937	4542	20.8873	120	26	94	57.4051	4535	56.2049	471	18	453	120.5	43.3223	0.8068	17.1037	9.4976	0.8169	355.9959	567.2692	4256	16	50.7732	27.7418	173	0	182.6577	113.749	1123	42	128.9113	65.8827	313	19	43.5443	44.6206	581	8	166.6084	156.0588	949	16	55.5	25.3701	173	2	167.3054	110.1709	1123	42	142.8079	62.5674	313	19	40.8473	41.5476	581	8	0.1538	0	0	0	1	1	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	Subcellular spot: Channel 3 object	Subcellular spot: Channel 3 object	PathCellObject	Geometry	48.72	6.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	1.9311	876.0155	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	131.66	9.454	16	15.119	0.8796	5.2068	4.1975	0.6157	849.2353	57748	605.7727	3140	294	2846	32.7206	2225	11.4889	60	14	46	193.5	13158	63.4793	413	95	318	115.9118	7882	66.5041	324	37	287	30.3235	2062	11.1093	56	14	42	154.75	44.8637	0.9662	14.5334	13.8935	0.1205	224.9903	312.3306	3140	37	53.8484	19.5651	120	11	145.7806	43.9594	413	56	158.4726	62.365	335	34	34.6065	16.7101	165	8	148.0906	104.653	804	37	56.4511	18.7645	120	11	139.9022	36.9497	390	56	163.7156	59.8373	335	34	35.1341	17.2087	165	8	0.1031	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	180.11	9.112	31.75	22.3441	0.7992	8.555	5.0332	0.8334	882.4015	116477	628.063	3500	316	3184	33.2424	4388	25.5155	118	0	118	256.2803	33829	109.2781	614	119	495	63.0152	8318	40.498	250	20	230	33.75	4455	24.6262	185	7	178	152.75	45.805	0.9149	15.2702	13.4342	0.4674	315.5122	434.474	3500	19	52.1517	24.0029	123	0	178.571	76.9947	614	42	133.0897	71.7294	314	20	28.8352	16.0114	185	5	159.9418	142.8133	779	19	57.341	20.7746	123	12	157.2453	46.7222	297	42	152.3202	66.268	314	24	27.4865	12.3648	170	5	0.2053	0	0	0	1	1	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	Subcellular spot: Channel 3 object	Subcellular spot: Channel 3 object	PathCellObject	Geometry	179.26	13.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	0.5589	836.3393	NaN	NaN	NaN	NaN
Slide7 Naive3.czi	PathCellObject		PathAnnotationObject	Polygon	45.78	12.62	11.5	14.2623	0.7104	6.1115	2.8606	0.905	1334.9399	66747	895.2607	3943	374	3569	33.04	1652	34.4336	160	1	159	262.06	13103	125.985	593	102	491	68.04	3402	19.7111	128	38	90	31.74	1587	13.4617	60	11	49	88.75	36.095	0.856	14.1021	8.7141	0.7763	342.4791	549.8768	3943	17	52.3788	27.1606	160	1	160.9638	75.5302	593	31	136.2201	72.3073	312	20	25.0836	10.5019	60	5	181.8867	195.3634	1590	17	55.5081	24.46	142	1	144.6052	46.6706	284	31	147.2524	71.6837	312	20	24.0065	9.5397	58	5	0.1275	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
