Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: RS1 mean	Nucleus: RS1 sum	Nucleus: RS1 std dev	Nucleus: RS1 max	Nucleus: RS1 min	Nucleus: RS1 range	Nucleus: RS2 mean	Nucleus: RS2 sum	Nucleus: RS2 std dev	Nucleus: RS2 max	Nucleus: RS2 min	Nucleus: RS2 range	Nucleus: RS3 mean	Nucleus: RS3 sum	Nucleus: RS3 std dev	Nucleus: RS3 max	Nucleus: RS3 min	Nucleus: RS3 range	Nucleus: RS4 mean	Nucleus: RS4 sum	Nucleus: RS4 std dev	Nucleus: RS4 max	Nucleus: RS4 min	Nucleus: RS4 range	Nucleus: RS5 mean	Nucleus: RS5 sum	Nucleus: RS5 std dev	Nucleus: RS5 max	Nucleus: RS5 min	Nucleus: RS5 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: RS1 mean	Cell: RS1 std dev	Cell: RS1 max	Cell: RS1 min	Cell: RS2 mean	Cell: RS2 std dev	Cell: RS2 max	Cell: RS2 min	Cell: RS3 mean	Cell: RS3 std dev	Cell: RS3 max	Cell: RS3 min	Cell: RS4 mean	Cell: RS4 std dev	Cell: RS4 max	Cell: RS4 min	Cell: RS5 mean	Cell: RS5 std dev	Cell: RS5 max	Cell: RS5 min	Cytoplasm: RS1 mean	Cytoplasm: RS1 std dev	Cytoplasm: RS1 max	Cytoplasm: RS1 min	Cytoplasm: RS2 mean	Cytoplasm: RS2 std dev	Cytoplasm: RS2 max	Cytoplasm: RS2 min	Cytoplasm: RS3 mean	Cytoplasm: RS3 std dev	Cytoplasm: RS3 max	Cytoplasm: RS3 min	Cytoplasm: RS4 mean	Cytoplasm: RS4 std dev	Cytoplasm: RS4 max	Cytoplasm: RS4 min	Cytoplasm: RS5 mean	Cytoplasm: RS5 std dev	Cytoplasm: RS5 max	Cytoplasm: RS5 min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	Subcellular: Channel 4: Num spots estimated	Subcellular: Channel 4: Num single spots	Subcellular: Channel 4: Num clusters	Subcellular: Channel 5: Num spots estimated	Subcellular: Channel 5: Num single spots	Subcellular: Channel 5: Num clusters	Num spots	Subcellular cluster: Channel 3: Area	Subcellular cluster: Channel 3: Mean channel intensity	Subcellular cluster: Channel 2: Area	Subcellular cluster: Channel 2: Mean channel intensity	Subcellular cluster: Channel 5: Area	Subcellular cluster: Channel 5: Mean channel intensity	Subcellular cluster: Channel 4: Area	Subcellular cluster: Channel 4: Mean channel intensity
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	17.07	6.028	29.25	20.8859	0.8426	7.4737	5.1809	0.7649	876.0085	103369	333.8256	1981	350	1631	60.8475	7180	30.6632	162	11	151	519.7373	61329	261.4925	1505	207	1298	72.3644	8539	44.9784	279	12	267	43	5074	17.6107	90	6	84	148.25	45.6389	0.8944	15.8073	12	0.5889	288.2588	345.7667	1981	21	55.0387	21.4631	162	11	246.2118	186.0895	1505	68	122.3378	47.3211	279	12	26.237	13.4232	90	6	142.8616	122.3887	662	21	53.6017	18.2571	132	16	178.5472	57.1981	445	68	134.7002	39.05	237	40	22.0901	7.8565	65	6	0.1941	0	0	0	9.1118	0	1	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	Subcellular cluster: Channel 3 object	Subcellular cluster: Channel 3 object	PathCellObject	Geometry	17.11	4.577	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.1118	9.1118	900.6265	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	186.77	4.785	19.5	22.7312	0.4742	7.7193	4.3651	0.8844	387.747	32183	146.0108	936	188	748	45.3735	3766	24.5624	132	11	121	264.241	21932	92.6917	513	108	405	86.7108	7197	40.059	209	29	180	25.7711	2139	8.5416	47	10	37	132.5	45.4408	0.8064	17.2608	9	0.8366	121.1501	139.2116	936	16	47.7355	17.9729	132	11	177.5591	87.8218	641	48	105.349	42.2798	209	13	22.5291	9.2508	76	8	71.9778	59.2216	401	16	48.1711	16.4723	101	15	161.5711	76.9686	641	48	108.7867	41.8199	209	13	21.9311	9.2612	76	8	0.149	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	162.99	6.515	42.75	27.9171	0.6893	11.0082	5.3054	0.8863	667.9315	116888	374.1597	2025	249	1776	29.7943	5214	17.9796	121	0	121	300.3886	52568	114.3918	763	106	657	63.2	11060	27.358	165	21	144	36.1486	6326	23.4935	164	14	150	206.5	54.8598	0.8622	20.7954	13	0.7661	213.3004	301.8878	2025	10	41.8999	16.9148	121	0	179.2461	98.6852	763	29	98.994	43.1309	222	21	24.9916	16.0511	164	6	91.6483	89.6841	561	10	45.1391	15.0621	102	9	146.8303	62.2621	583	29	108.5719	41.5229	222	25	22.0061	11.7186	149	6	0.2042	0	0	0	1	1	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	Subcellular spot: Channel 3 object	Subcellular spot: Channel 3 object	PathCellObject	Geometry	160.52	7.327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0.7784	832.3397	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	116.65	8.83	46	26.1429	0.8458	10.2719	6.3623	0.7937	532.4813	99574	197.1892	1516	172	1344	35.7914	6693	13.8053	81	6	75	264.7326	49505	81.9861	478	126	352	76.5775	14320	36.3307	203	34	169	32.1497	6012	10.9057	68	13	55	244.75	56.6398	0.9587	19.9868	15.5	0.6143	160.3558	202.7734	1516	13	46.3884	17.0697	153	6	167.5199	69.7093	478	47	120.1967	46.1635	320	24	25.0601	11.0878	116	7	72.7141	36.7042	418	13	48.8841	16.8126	153	11	144.6247	40.9308	317	47	130.4698	42.0676	320	24	23.3904	10.4589	116	7	0.1852	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	96.85	9.341	29.25	19.7744	0.94	7.3345	4.9194	0.7288	1099.6555	130859	365.1821	2102	561	1541	39.7143	4726	21.023	110	4	106	487.4454	58006	303.2224	1574	152	1422	84.6975	10079	33.2952	189	25	164	39.8992	4748	15.7073	96	16	80	197.75	50.3243	0.9812	17.0861	14.5	0.5125	240.3338	394.0995	2102	8	47.4539	17.5414	136	4	201.4589	176.1104	1574	32	126.4412	45.7227	251	14	25.3919	11.8559	96	3	88.1622	72.5062	592	8	48.8244	16.4937	136	6	150.8155	57.2087	696	32	133.8333	43.6189	251	14	22.8229	8.8414	78	3	0.1457	0	0	0	6.9312	0	1	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	Subcellular cluster: Channel 3 object	Subcellular cluster: Channel 3 object	PathCellObject	Geometry	96.71	9.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.9312	6.9312	1008.3816	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	PathCellObject		PathAnnotationObject	Polygon	50.93	9.937	19.75	17.5861	0.8025	6.3572	4.2707	0.67	609.6506	50601	294.3332	1894	182	1712	67.8675	5633	29.2157	160	16	144	385.8675	32027	291.6031	1825	167	1658	100.0843	8307	51.8622	240	25	215	39	3237	15.873	95	15	80	165.5	47.5213	0.9209	16.1425	13.5	0.5614	156.6497	202.8993	1894	30	55.9251	18.8652	160	16	192.9207	137.4565	1825	60	137.6572	38.5681	240	25	25.9551	11.366	95	8	92.3778	39.3945	341	30	54.2308	16.2321	132	16	165.5453	59.9868	689	60	142.988	33.0475	223	45	24.1043	9.1952	87	8	0.1165	0	0	0	1	1	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-2.czi	Subcellular spot: Channel 3 object	Subcellular spot: Channel 3 object	PathCellObject	Geometry	51.55	9.656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	2.9142	1058.911	NaN	NaN	NaN	NaN	NaN	NaN
