Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: RS1 mean	Nucleus: RS1 sum	Nucleus: RS1 std dev	Nucleus: RS1 max	Nucleus: RS1 min	Nucleus: RS1 range	Nucleus: RS2 mean	Nucleus: RS2 sum	Nucleus: RS2 std dev	Nucleus: RS2 max	Nucleus: RS2 min	Nucleus: RS2 range	Nucleus: RS3 mean	Nucleus: RS3 sum	Nucleus: RS3 std dev	Nucleus: RS3 max	Nucleus: RS3 min	Nucleus: RS3 range	Nucleus: RS4 mean	Nucleus: RS4 sum	Nucleus: RS4 std dev	Nucleus: RS4 max	Nucleus: RS4 min	Nucleus: RS4 range	Nucleus: RS5 mean	Nucleus: RS5 sum	Nucleus: RS5 std dev	Nucleus: RS5 max	Nucleus: RS5 min	Nucleus: RS5 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: RS1 mean	Cell: RS1 std dev	Cell: RS1 max	Cell: RS1 min	Cell: RS2 mean	Cell: RS2 std dev	Cell: RS2 max	Cell: RS2 min	Cell: RS3 mean	Cell: RS3 std dev	Cell: RS3 max	Cell: RS3 min	Cell: RS4 mean	Cell: RS4 std dev	Cell: RS4 max	Cell: RS4 min	Cell: RS5 mean	Cell: RS5 std dev	Cell: RS5 max	Cell: RS5 min	Cytoplasm: RS1 mean	Cytoplasm: RS1 std dev	Cytoplasm: RS1 max	Cytoplasm: RS1 min	Cytoplasm: RS2 mean	Cytoplasm: RS2 std dev	Cytoplasm: RS2 max	Cytoplasm: RS2 min	Cytoplasm: RS3 mean	Cytoplasm: RS3 std dev	Cytoplasm: RS3 max	Cytoplasm: RS3 min	Cytoplasm: RS4 mean	Cytoplasm: RS4 std dev	Cytoplasm: RS4 max	Cytoplasm: RS4 min	Cytoplasm: RS5 mean	Cytoplasm: RS5 std dev	Cytoplasm: RS5 max	Cytoplasm: RS5 min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	Subcellular: Channel 4: Num spots estimated	Subcellular: Channel 4: Num single spots	Subcellular: Channel 4: Num clusters	Subcellular: Channel 5: Num spots estimated	Subcellular: Channel 5: Num single spots	Subcellular: Channel 5: Num clusters	Num spots	Subcellular cluster: Channel 2: Area	Subcellular cluster: Channel 2: Mean channel intensity	Subcellular cluster: Channel 3: Area	Subcellular cluster: Channel 3: Mean channel intensity	Subcellular cluster: Channel 4: Area	Subcellular cluster: Channel 4: Mean channel intensity	Subcellular cluster: Channel 5: Area	Subcellular cluster: Channel 5: Mean channel intensity
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	102.2	5.906	42	23.7537	0.9354	7.8818	7.1522	0.4412	384.0231	66436	151.2035	1075	131	944	37.9942	6573	16.967	90	0	90	162.5318	28118	45.1327	377	73	304	140.0578	24230	279.9614	3354	24	3330	26.0809	4512	10.7202	54	0	54	118.25	41.6649	0.856	15.381	11.1883	0.5799	208.6205	164.4598	1075	27	62.7463	104.5212	2010	0	250.914	838.2272	14781	56	182.2138	181.433	3354	0	31.3753	29.4997	506	0	108.8026	44.1482	353	27	76.8322	128.2573	2010	16	301.2105	1046.7279	14781	56	206.2039	75.0235	430	0	34.3882	35.7316	506	7	0.3533	1	1	0	1	1	0	1	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	Subcellular spot: Channel 2 object	Subcellular spot: Channel 2 object	PathCellObject	Geometry	101.09	12.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0.5739	1603.9565	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	Subcellular spot: Channel 3 object	Subcellular spot: Channel 3 object	PathCellObject	Geometry	100.98	11.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	2.4601	4157.0142	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	Subcellular spot: Channel 4 object	Subcellular spot: Channel 4 object	PathCellObject	Geometry	102.69	7.219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	0.8733	1719.6343	NaN	NaN
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	113.05	5.69	33.25	21.9167	0.8699	7.3456	6.3252	0.2169	327.6985	44567	141.1911	1109	127	982	49.8162	6775	17.5145	107	17	90	230.7206	31378	78.8349	516	109	407	74.2941	10104	60.3431	250	15	235	26.0221	3539	9.7087	63	10	53	108	39.2417	0.8813	13.5485	10.7238	0.2899	165.6904	137.2941	1109	27	55.6055	20.0449	165	17	177.906	67.8459	516	65	148.6537	81.3664	345	15	27.3028	10.6073	87	9	92.2467	32.7478	188	27	58.23	20.5888	165	18	153.9633	45.2413	305	65	182.3633	65.8225	345	42	27.8833	10.9567	87	9	0.3063	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	124.3	4.509	18.75	18.0643	0.7221	6.3383	4.4657	0.6921	349.1519	27583	79.2487	627	220	407	44.5063	3516	16.3831	103	16	87	142.7595	11278	31.3271	249	78	171	98.2532	7762	54.4882	231	30	201	21.7215	1716	6.5885	42	12	30	95.75	37.8965	0.8378	14.1456	9	0.6872	141.7292	117.831	627	20	53.5703	19.1064	146	11	142.1615	36.3524	261	38	161.7917	69.2359	394	21	26.737	10.9757	90	10	88.0033	42.4758	316	20	55.918	19.0833	146	11	142.0066	37.5897	261	38	178.2492	62.9021	394	21	28.0361	11.5067	90	10	0.1965	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	141.93	4.221	17	19.7354	0.5485	6.8443	3.9867	0.836	295.169	20957	96.4127	541	155	386	81.5634	5791	76.2904	460	24	436	158.4084	11247	37.5517	254	84	170	93.3803	6630	57.4278	298	24	274	178.3803	12665	203.0014	1203	28	1175	114.75	42.3567	0.8037	16.1115	8.5	0.828	118.5248	87.6067	541	34	62.7387	36.0292	460	18	146.7711	35.8044	254	58	158.581	64.0463	339	17	59.3477	99.18	1203	7	86.5306	26.6861	210	34	59.3291	20.392	136	18	144.6633	35.1175	244	58	170.3903	57.8324	339	17	37.7883	34.7325	306	7	0.1455	0	0	0	0	0	0	0	0	0	1	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	Subcellular spot: Channel 5 object	Subcellular spot: Channel 5 object	PathCellObject	Geometry	141.32	3.243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	1.018	937.598
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	185.91	4.093	17.25	15.2594	0.9309	5.5914	4	0.6115	358.0972	25783	103.5958	575	151	424	40.4028	2909	16.9346	97	10	87	137.1667	9876	35.1027	262	89	173	66.5972	4795	37.1091	245	29	216	29	2088	20.4271	150	9	141	100.5	39.051	0.8282	14.6714	8.5	0.8022	120.3267	122.8497	575	19	50.25	18.4958	112	10	133.099	44.7239	388	40	122.2302	54.4759	285	29	23.5668	12.0167	150	7	68.762	33.2914	265	19	52.3855	18.1473	112	13	132.2169	46.5471	388	40	134.2952	49.9852	285	37	22.3886	8.8596	74	7	0.1669	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive3-3.czi	PathCellObject		PathAnnotationObject	Polygon	43.75	3.247	20.5	18.5571	0.7481	7.0169	4.0405	0.8342	708.7976	59539	450.1261	2146	302	1844	44.6429	3750	23.3948	109	9	100	229.9643	19317	80.306	514	128	386	99.9405	8395	52.9074	301	39	262	37.3571	3138	17.2079	103	13	90	68.75	35.2479	0.6954	13.9021	7.3604	0.8381	378.3899	342.9306	2146	7	44.9386	25.5848	137	6	189.0433	83.0514	514	29	108.2563	67.3528	306	16	30.0397	15.6817	103	4	234.5855	113.644	579	7	45.0674	26.5387	137	6	171.2332	77.948	512	29	111.8756	72.5782	306	16	26.8549	13.8519	97	4	0.298	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
