Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: RS1 mean	Nucleus: RS1 sum	Nucleus: RS1 std dev	Nucleus: RS1 max	Nucleus: RS1 min	Nucleus: RS1 range	Nucleus: RS2 mean	Nucleus: RS2 sum	Nucleus: RS2 std dev	Nucleus: RS2 max	Nucleus: RS2 min	Nucleus: RS2 range	Nucleus: RS3 mean	Nucleus: RS3 sum	Nucleus: RS3 std dev	Nucleus: RS3 max	Nucleus: RS3 min	Nucleus: RS3 range	Nucleus: RS4 mean	Nucleus: RS4 sum	Nucleus: RS4 std dev	Nucleus: RS4 max	Nucleus: RS4 min	Nucleus: RS4 range	Nucleus: RS5 mean	Nucleus: RS5 sum	Nucleus: RS5 std dev	Nucleus: RS5 max	Nucleus: RS5 min	Nucleus: RS5 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: RS1 mean	Cell: RS1 std dev	Cell: RS1 max	Cell: RS1 min	Cell: RS2 mean	Cell: RS2 std dev	Cell: RS2 max	Cell: RS2 min	Cell: RS3 mean	Cell: RS3 std dev	Cell: RS3 max	Cell: RS3 min	Cell: RS4 mean	Cell: RS4 std dev	Cell: RS4 max	Cell: RS4 min	Cell: RS5 mean	Cell: RS5 std dev	Cell: RS5 max	Cell: RS5 min	Cytoplasm: RS1 mean	Cytoplasm: RS1 std dev	Cytoplasm: RS1 max	Cytoplasm: RS1 min	Cytoplasm: RS2 mean	Cytoplasm: RS2 std dev	Cytoplasm: RS2 max	Cytoplasm: RS2 min	Cytoplasm: RS3 mean	Cytoplasm: RS3 std dev	Cytoplasm: RS3 max	Cytoplasm: RS3 min	Cytoplasm: RS4 mean	Cytoplasm: RS4 std dev	Cytoplasm: RS4 max	Cytoplasm: RS4 min	Cytoplasm: RS5 mean	Cytoplasm: RS5 std dev	Cytoplasm: RS5 max	Cytoplasm: RS5 min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	Subcellular: Channel 4: Num spots estimated	Subcellular: Channel 4: Num single spots	Subcellular: Channel 4: Num clusters	Subcellular: Channel 5: Num spots estimated	Subcellular: Channel 5: Num single spots	Subcellular: Channel 5: Num clusters	Num spots	Subcellular cluster: Channel 2: Area	Subcellular cluster: Channel 2: Mean channel intensity	Subcellular cluster: Channel 3: Area	Subcellular cluster: Channel 3: Mean channel intensity	Subcellular cluster: Channel 5: Area	Subcellular cluster: Channel 5: Mean channel intensity	Subcellular cluster: Channel 4: Area	Subcellular cluster: Channel 4: Mean channel intensity
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	24.21	8.455	45	41.6405	0.3261	13.2411	8.5334	0.4698	462.3424	85071	174.9304	1209	175	1034	40.8043	7508	21.9974	117	8	109	191.3913	35216	58.3649	549	97	452	84.1467	15483	53.0272	247	21	226	35.7989	6587	24.1916	210	12	198	168.75	56.6571	0.6606	19.9938	13.1546	0.7858	218.9912	207.8616	1209	4	37.5572	22.2615	146	6	133.1393	71.6305	549	17	69.434	63.5657	320	10	24.1657	18.3807	210	3	129.0783	133.828	1188	4	36.3574	22.2605	146	6	111.6165	63.685	354	17	63.998	66.2676	320	10	19.8675	13.3726	79	3	0.2647	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	36.01	2.895	9.5	16.6848	0.4288	7.26	2.3861	0.9556	475.625	19025	214.3205	1146	248	898	32.15	1286	15.5852	70	10	60	182.85	7314	49.6219	302	99	203	69.825	2793	42.1395	183	25	158	23.8	952	7.7994	46	8	38	50.25	32.2803	0.606	13.512	4.5977	0.9438	199.5805	174.5289	1146	52	40.9366	20.8891	108	10	140.1073	59.8914	332	53	80.6976	70.1954	292	13	21.5463	11.8774	58	5	132.6606	62.2533	414	52	43.0667	21.4854	108	10	129.7455	57.6427	332	53	83.3333	75.3067	292	13	21	12.6284	58	5	0.1759	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	51.46	7.573	30.75	39.1029	0.2527	11.8743	6.3972	0.8682	328.7176	43062	155.108	973	131	842	37.5496	4919	18.6127	118	10	108	158.9008	20816	48.5362	317	80	237	90.7252	11885	72.4805	321	20	301	32.9542	4317	14.1676	97	10	87	185	53.2761	0.8191	18.8801	15	0.4923	185.1871	154.8205	1194	7	40.4038	20.0555	131	7	127.541	50.6529	317	26	78.8816	60.7456	321	12	27.7914	14.9457	113	4	154.4641	136.4819	1194	7	41.0147	20.3134	131	7	120.8284	48.5655	288	26	76.3464	57.6794	295	12	26.6863	14.8869	113	4	0.1662	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	74.34	4.519	22.25	20.1223	0.6905	7.921	3.9091	0.8991	201.1196	18503	54.0124	396	139	257	55.9022	5143	16.5967	114	24	90	153.0652	14082	31.9934	264	95	169	137.5652	12656	48.8578	262	55	207	34.9457	3215	11.7186	74	15	59	56.25	30.0485	0.7829	11.0135	8.2142	0.5462	146.7686	60.9989	396	41	49.5328	16.8016	114	19	128.69	34.8044	264	62	109.5153	45.8851	262	37	29.1616	11.0998	74	9	110.2701	30.7513	177	41	45.2555	15.5908	113	19	112.3212	25.9626	183	62	90.6788	32.2925	195	37	25.2774	8.7655	51	9	0.3871	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	132.45	5.221	14.75	18.6866	0.5308	7.7798	2.7744	0.9533	480.9677	29820	170.9668	938	219	719	27.7097	1718	17.82	90	6	84	163.7581	10153	40.8932	294	77	217	86.1452	5341	45.5991	225	30	195	32.0161	1985	13.581	83	10	73	46.5	30.179	0.6416	11.9254	6.4366	0.8488	243.5737	201.6661	938	14	36.1789	22.42	131	6	123.0947	58.5466	343	35	85.2842	67.0939	289	17	26.7684	14.6504	83	5	128.5859	75.1358	412	14	40.2812	23.314	131	7	103.3984	55.6744	343	35	84.8672	75.4982	289	17	24.2266	14.5213	72	5	0.3167	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	138.56	8.511	21.75	27.0456	0.3737	10.6912	4.3791	0.9383	436.4445	39280	238.6233	1193	145	1048	33.3333	3000	17.2027	81	6	75	160.8111	14473	49.326	276	61	215	91.8222	8264	51.8432	240	28	212	30.3222	2729	12.6062	62	11	51	138.75	47.482	0.7734	18.2021	10.5848	0.8234	153.8851	166.3015	1193	5	31.5009	14.7749	113	5	100.4327	46.8057	276	18	59.8276	44.5113	274	13	21.2478	11.2435	74	4	99.4304	61.083	335	5	31.1478	14.2536	113	5	88.7966	36.1861	214	18	53.6617	40.1843	274	13	19.4989	10.0753	74	4	0.1585	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	81.26	4.303	8.5	13.1204	0.6205	5.4285	2.357	0.9061	305.3903	12521	93.9199	505	151	354	32.7317	1342	14.6185	66	6	60	125.0976	5129	29.0687	199	74	125	81.561	3344	60.888	251	27	224	23.1463	949	9.6061	45	10	35	33.75	22.7255	0.8212	8.6634	5.1903	0.7825	178.2643	99.9569	505	65	40.8643	21.7647	99	6	120.0929	43.1942	226	49	101.7	81.6683	307	18	25.6071	17.419	141	8	125.6162	31.7762	242	65	44.2323	23.3565	99	7	118.0202	47.8183	226	49	110.0404	87.7892	307	18	26.6263	19.726	141	8	0.2514	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	67.13	8.979	29	32.4874	0.3453	12.4681	5.0429	0.9363	302.3917	36287	114.6642	624	132	492	33.925	4071	15.0669	90	6	84	146.1667	17540	41.953	280	74	206	56.6833	6802	44.4664	259	20	239	21.7333	2608	7.8213	50	8	42	125.25	51.2455	0.5993	19.6841	9.4382	0.9205	141.4283	120.6159	683	5	36.0598	17.2547	108	6	116.257	50.6949	280	24	63.6892	54.2687	274	11	19.7231	9.1613	61	3	90.8639	65.5736	683	5	36.7304	17.8524	108	7	106.8613	49.5924	269	24	65.8901	56.8753	274	11	19.0916	9.4649	61	3	0.2298	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	85.07	9.671	34.5	33.1572	0.3943	10.9456	6.0517	0.8905	378.381	55622	142.6544	980	160	820	32.7483	4814	16.3359	111	6	105	158.5102	23301	51.0398	387	72	315	79.9456	11752	54.3023	278	22	256	24.4014	3587	8.7317	46	10	36	125	49.7726	0.6341	17.9524	12.0444	0.8152	173.4901	163.6933	980	4	34.0655	22.4033	115	5	108.8829	65.2584	387	15	77.6964	74.5922	303	10	22.2738	16.9689	146	3	89.1233	71.005	347	4	34.6078	24.4683	115	5	88.4482	59.271	299	15	76.7703	81.5428	303	10	21.3978	19.3116	146	3	0.2776	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	116.82	9.48	79.5	49.139	0.4137	15.2153	9.7757	0.715	274.3723	89171	164.4429	1067	68	999	37.9508	12334	18.5758	114	6	108	151.4308	49215	57.6407	370	56	314	93.7169	30458	66.9268	357	14	343	36.4554	11848	18.5494	114	9	105	293.25	69.3524	0.7662	24.9269	16	0.7161	141.4065	149.6616	1067	4	34.2908	19.6861	114	4	105.8435	63.2315	370	17	78.8988	67.0419	357	10	25.9439	18.8603	123	2	90.6263	106.3653	804	4	32.8931	19.9277	112	4	88.4336	56.2357	290	17	73.2397	66.2553	318	10	21.9295	17.3834	123	2	0.271	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	97.74	9.067	84.25	34.0583	0.9127	11.7148	9.3782	0.5932	391.903	133247	236.8441	1665	112	1553	34.7382	11811	16.1356	105	2	103	173.3176	58928	71.3471	548	57	491	81.65	27761	67.0427	310	15	295	30.9706	10530	19.1981	164	6	158	252.5	58.6133	0.9236	20.6569	16.5648	0.4755	220.3609	246.2435	2020	3	36.4546	21.6855	121	2	129.359	76.1317	548	14	90.4517	74.7032	322	8	28.8097	20.9114	170	3	133.8264	201.6122	2020	3	37.3205	23.9677	121	4	107.184	68.4937	428	14	94.8917	77.9547	322	8	27.7196	21.6564	170	3	0.3343	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Slide7 Naive2-3.czi	PathCellObject		PathAnnotationObject	Polygon	126.77	5.277	14.5	15.9809	0.7135	6.9234	2.971	0.9041	615.7258	38175	182.7814	1107	295	812	27.0161	1675	13.7727	78	5	73	204.8226	12699	48.5733	354	124	230	75.129	4658	31.724	163	31	132	35.8226	2221	13.2251	66	15	51	49.5	27.4024	0.8284	10.9865	6.339	0.7899	304.791	240.2389	1107	31	41.6567	23.9803	117	5	161.6716	60.8222	354	37	108.0896	84.2953	312	17	35.0498	19.377	113	6	166.1007	77.886	435	31	48.187	24.7045	117	10	142.4245	55.7563	333	37	122.7914	95.6423	312	17	34.705	21.5976	113	6	0.2913	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
